SUBJECT_ID,NUMBER OF AND,NUMBER OF BYTE,Column1,Number of char[],Number of char[inHEx]
1,114334,42875,42875.25,42876,A77C
2,320565,120211,120211.875,120212,1D594
3,316640,118740,118740,118740,1CFD4
4,311800,116925,116925,116925,1C8BD
5,298283,111856,111856.125,111857,1B4F1
6,96018,36006,36006.75,36007,8CA7
7,274388,102895,102895.5,102896,191F0
8,262059,98272,98272.125,98273,17FE1
9,257394,96522,96522.75,96523,1790B
10,227894,85460,85460.25,85461,14DD5
11,234138,87801,87801.75,87802,156FA
12,229277,85978,85978.875,85979,14FDB
13,242566,90962,90962.25,90963,16353
14,329362,123510,123510.75,123511,1E277
15,224400,84150,84150,84150,148B6
16,243076,91153,91153.5,91154,16412
17,219579,82342,82342.125,82343,141A7
18,225038,84389,84389.25,84390,149A6
19,221888,83208,83208,83208,14508
20,260170,97563,97563.75,97564,17D1C
21,224795,84298,84298.125,84299,1494B
22,215984,80994,80994,80994,13C62
23,210299,78862,78862.125,78863,1340F
24,226773,85039,85039.875,85040,14C30
25,227848,85443,85443,85443,14DC3
26,226483,84931,84931.125,84932,14BC4
27,226078,84779,84779.25,84780,14B2C
28,225655,84620,84620.625,84621,14A8D
29,228143,85553,85553.625,85554,14E32
30,226323,84871,84871.125,84872,14B88
31,225827,84685,84685.125,84686,14ACE
32,225668,84625,84625.5,84626,14A92
33,229122,85920,85920.75,85921,14FA1
34,208418,78156,78156.75,78157,1314D
35,225974,84740,84740.25,84741,14B05
36,225374,84515,84515.25,84516,14A24
37,220572,82714,82714.5,82715,1431B
38,232744,87279,87279,87279,154EF
39,254961,95610,95610.375,95611,1757B
40,229655,86120,86120.625,86121,15069
41,235457,88296,88296.375,88297,158E9
42,223517,83818,83818.875,83819,1476B
43,224939,84352,84352.125,84353,14981
44,236490,88683,88683.75,88684,15A6C
45,226200,84825,84825,84825,14B59
46,225795,84673,84673.125,84674,14AC2
47,231403,86776,86776.125,86777,152F9
48,223098,83661,83661.75,83662,146CE
49,225039,84389,84389.625,84390,149A6
50,217756,81658,81658.5,81659,13EFB
51,253176,94941,94941,94941,172DD
52,218391,81896,81896.625,81897,13FE9
53,224269,84100,84100.875,84101,14885
54,224896,84336,84336,84336,14970
55,221166,82937,82937.25,82938,143FA
56,255624,95859,95859,95859,17673
57,232380,87142,87142.5,87143,15467
58,254846,95567,95567.25,95568,17550
59,239351,89756,89756.625,89757,15E9D
60,242647,90992,90992.625,90993,16371
61,231883,86956,86956.125,86957,153AD
62,230992,86622,86622,86622,1525E
63,221409,83028,83028.375,83029,14455
64,225804,84676,84676.5,84677,14AC5
65,234369,87888,87888.375,87889,15751
66,230266,86349,86349.75,86350,1514E
67,240910,90341,90341.25,90342,160E6
68,231849,86943,86943.375,86944,153A0
